ID;Title;Image URL;Image Filename;Permalink;Slug;razze allevamenti
375;Airedale terrier;https://www.caniincasa.it/wp-content/uploads/2023/10/schede_razze_airedale_terrier.jpg;schede_razze_airedale_terrier.jpg;https://www.caniincasa.it/razze_di_cani/airedale-terrier/;airedale-terrier;Airedale terrier
376;Akita;https://www.caniincasa.it/wp-content/uploads/2023/10/Akita-Inu-bosco-696x464-1.jpg;Akita-Inu-bosco-696x464-1.jpg;https://www.caniincasa.it/razze_di_cani/akita-2/;akita-2;
377;Akita americano;https://www.caniincasa.it/wp-content/uploads/2023/10/akita-americano.jpg;akita-americano.jpg;https://www.caniincasa.it/razze_di_cani/akita-americano/;akita-americano;Akita americano
378;Alano;https://www.caniincasa.it/wp-content/uploads/2023/10/razza-cane-alano.jpg;razza-cane-alano.jpg;https://www.caniincasa.it/razze_di_cani/alano/;alano;Alano
379;Alaskan malamute;https://www.caniincasa.it/wp-content/uploads/2023/10/Alaskan-malamute.jpg;Alaskan-malamute.jpg;https://www.caniincasa.it/razze_di_cani/alaskan-malamute/;alaskan-malamute;Alaskan malamute
380;Alpenlaendische dachsbracke;https://www.caniincasa.it/wp-content/uploads/2023/10/Alpenlaendische-dachsbracke.jpg;Alpenlaendische-dachsbracke.jpg;https://www.caniincasa.it/razze_di_cani/alpenlaendische-dachsbracke/;alpenlaendische-dachsbracke;Alpenlaendische dachsbracke
381;American water spaniel;https://www.caniincasa.it/wp-content/uploads/2023/10/American-water-spaniel.jpg;American-water-spaniel.jpg;https://www.caniincasa.it/razze_di_cani/american-water-spaniel/;american-water-spaniel;American water spaniel
382;Amstaff – american staffordshire terrier;https://www.caniincasa.it/wp-content/uploads/2023/10/Amstaff.jpg;Amstaff.jpg;https://www.caniincasa.it/razze_di_cani/amstaff-american-staffordshire-terrier/;amstaff-american-staffordshire-terrier;Amstaff – american staffordshire terrier
383;Anglo francais de petite venerie;https://www.caniincasa.it/wp-content/uploads/2023/10/Anglo-francais-de-petite-venerie.jpg;Anglo-francais-de-petite-venerie.jpg;https://www.caniincasa.it/razze_di_cani/anglo-francais-de-petite-venerie/;anglo-francais-de-petite-venerie;Anglo francais de petite venerie
384;Ariegeois;https://www.caniincasa.it/wp-content/uploads/2023/10/Ariegeois.jpg;Ariegeois.jpg;https://www.caniincasa.it/razze_di_cani/ariegeois/;ariegeois;Ariegeois
385;Australian cattledog;https://www.caniincasa.it/wp-content/uploads/2023/10/Australian-cattledog.jpg;Australian-cattledog.jpg;https://www.caniincasa.it/razze_di_cani/australian-cattledog/;australian-cattledog;Australian cattledog
386;Australian shepherd;https://www.caniincasa.it/wp-content/uploads/2023/10/Australian-shepherd.jpg;Australian-shepherd.jpg;https://www.caniincasa.it/razze_di_cani/australian-shepherd/;australian-shepherd;Australian shepherd
387;Australian silky terrier;https://www.caniincasa.it/wp-content/uploads/2023/10/Australian-silky-terrier.jpg;Australian-silky-terrier.jpg;https://www.caniincasa.it/razze_di_cani/australian-silky-terrier/;australian-silky-terrier;Australian silky terrier
388;Australian stumpy tail cattle dog;https://www.caniincasa.it/wp-content/uploads/2023/10/Australian_Stumpy_Tail_Cattle_Dog.jpg;Australian_Stumpy_Tail_Cattle_Dog.jpg;https://www.caniincasa.it/razze_di_cani/australian-stumpy-tail-cattle-dog/;australian-stumpy-tail-cattle-dog;Australian stumpy tail cattle dog
389;Australian terrier;https://www.caniincasa.it/wp-content/uploads/2023/10/Australian-terrier.jpg;Australian-terrier.jpg;https://www.caniincasa.it/razze_di_cani/australian-terrier/;australian-terrier;Australian terrier
390;Azawakh;https://www.caniincasa.it/wp-content/uploads/2023/10/Azawakh.jpg;Azawakh.jpg;https://www.caniincasa.it/razze_di_cani/azawakh/;azawakh;Azawakh
391;Barbet;https://www.caniincasa.it/wp-content/uploads/2023/10/Barbet.jpg;Barbet.jpg;https://www.caniincasa.it/razze_di_cani/barbet/;barbet;Barbet
392;Barboni;https://www.caniincasa.it/wp-content/uploads/2023/10/Barboni.jpg;Barboni.jpg;https://www.caniincasa.it/razze_di_cani/barboni/;barboni;Barboni
393;Barzoi;https://www.caniincasa.it/wp-content/uploads/2023/10/Barzoi.jpg;Barzoi.jpg;https://www.caniincasa.it/razze_di_cani/barzoi/;barzoi;Barzoi
394;Basenji;https://www.caniincasa.it/wp-content/uploads/2023/10/Basenji.jpg;Basenji.jpg;https://www.caniincasa.it/razze_di_cani/basenji/;basenji;Basenji
395;Basset blue de gascogne;https://www.caniincasa.it/wp-content/uploads/2023/10/Basset-blue-de-gascogne.jpg;Basset-blue-de-gascogne.jpg;https://www.caniincasa.it/razze_di_cani/basset-blue-de-gascogne/;basset-blue-de-gascogne;Basset blue de gascogne
396;Bassethound;https://www.caniincasa.it/wp-content/uploads/2023/10/Bassethound.jpg;Bassethound.jpg;https://www.caniincasa.it/razze_di_cani/bassethound/;bassethound;Bassethound
397;Basset artesien normand;https://www.caniincasa.it/wp-content/uploads/2023/10/Basset-artesien-normand.jpg;Basset-artesien-normand.jpg;https://www.caniincasa.it/razze_di_cani/bassett-artesian-normand/;bassett-artesian-normand;Basset artesien normand
